"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","date","number_plants_harvested","trait","rep","flag","data"
2014,"density","JGI","rain_fed",400,198,205,"RIL_123","high_density",31,31011,41910,3,"second_tiller_height",3,".",382.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_123","high_density",31,31011,41910,3,"tiller_number_per_plant",1,".",2.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_123","high_density",31,31011,41910,3,"tiller_number_per_plant",2,".",2.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_123","high_density",31,31011,41910,3,"tiller_number_per_plant",3,".",3.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_139","high_density",31,31013,41910,3,"basal_circumference",1,".",28.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_139","high_density",31,31013,41910,3,"basal_circumference",2,".",20.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_139","high_density",31,31013,41910,3,"basal_circumference",3,".",19.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_139","high_density",31,31013,41910,3,"branch_number_per_plant",1,".",4.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_139","high_density",31,31013,41910,3,"branch_number_per_plant",2,".",1.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_139","high_density",31,31013,41910,3,"branch_number_per_plant",3,".",0.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_139","high_density",31,31013,41910,3,"culm_height",1,".",188.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_139","high_density",31,31013,41910,3,"culm_height",2,".",276.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_139","high_density",31,31013,41910,3,"culm_height",3,".",259.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_139","high_density",31,31013,41910,3,"second_tiller_height",1,".",265.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_139","high_density",31,31013,41910,3,"second_tiller_height",2,".",233.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_139","high_density",31,31013,41910,3,"second_tiller_height",3,".",204.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_139","high_density",31,31013,41910,3,"tiller_number_per_plant",1,".",3.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_139","high_density",31,31013,41910,3,"tiller_number_per_plant",2,".",3.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_139","high_density",31,31013,41910,3,"tiller_number_per_plant",3,".",2.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_086","high_density",31,31014,41910,3,"basal_circumference",1,".",6.000
