"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","number_plants_harvested","date","DOY","subsample_num","trait","flag","data"
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,4,"leaf_number_per_plant",".",57.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,4,"culm_height",".",440.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,4,"second_tiller_height",".",274.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,4,"Panicle_Length",".","."
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,4,"tiller_number_per_plant",".",3.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,4,"branch_number_per_plant",".",13.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,4,"branch_number_per_plant_sqrt",".",3.606
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,4,"tiller_number_per_plant_sqrt",".",1.732
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,4,"leaf_number_per_plant_sqrt",".",7.550
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,4,"panicle_number_per_plant_sqrt",".",5.657
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,1,"Panicle_number_per_plant",".",8.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,1,"leaf_number_per_plant",".",23.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,1,"culm_height",".",306.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,1,"second_tiller_height",".",162.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,1,"Panicle_Length",".",76.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,1,"tiller_number_per_plant",".",4.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,1,"branch_number_per_plant",".",3.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,1,"branch_number_per_plant_sqrt",".",1.732
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,1,"tiller_number_per_plant_sqrt",".",2.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,1,"leaf_number_per_plant_sqrt",".",4.796
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,1,"panicle_number_per_plant_sqrt",".",2.828
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,2,"Panicle_number_per_plant",".",2.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,2,"leaf_number_per_plant",".",20.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,3,"07/29/2013",210,2,"culm_height",".",271.000
