"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","treatment_start","genotype","treatment","plot","subplot_ID","DOY","trait","subsample_num","flag","data"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"branch_number_per_plant_sqrt",1,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"culm_height",2,".",541.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"second_tiller_height",2,".",191.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"tiller_number_per_plant",2,".",3.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"branch_number_per_plant",2,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"leaf_number_per_plant",2,".",29.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"panicle_number_per_plant",2,".",3.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"tiller_number_per_plant_sqrt",2,".",1.73
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"branch_number_per_plant_sqrt",2,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"culm_height",3,".",572.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"second_tiller_height",3,".",419.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"tiller_number_per_plant",3,".",5.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"branch_number_per_plant",3,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"leaf_number_per_plant",3,".",45.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"panicle_number_per_plant",3,".",5.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"tiller_number_per_plant_sqrt",3,".",2.24
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"branch_number_per_plant_sqrt",3,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"culm_height",4,".",530.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"second_tiller_height",4,".",368.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"tiller_number_per_plant",4,".",6.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"branch_number_per_plant",4,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"leaf_number_per_plant",4,".",59.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"panicle_number_per_plant",4,".",5.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"tiller_number_per_plant_sqrt",4,".",2.45
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"branch_number_per_plant_sqrt",4,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15008,280,"culm_height",1,".",672.00
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15008,280,"second_tiller_height",1,".",391.00
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15008,280,"tiller_number_per_plant",1,".",2.00
