"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","date","DOY","trait","measurement_number","rep","flag","data"
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33119,41862.00,223,"Height",1,1,".",10.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33119,41862.00,223,"Height",1,2,".",14.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33119,41862.00,223,"Height",1,3,".",8.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33166,41862.00,223,"Height",1,1,".",6.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33166,41862.00,223,"Height",1,2,".",4.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33166,41862.00,223,"Height",1,3,".",6.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33181,41862.00,223,"Height",1,1,".",8.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33181,41862.00,223,"Height",1,2,".",15.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33181,41862.00,223,"Height",1,3,".",10.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33204,41862.00,223,"Height",1,1,".",6.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33204,41862.00,223,"Height",1,2,".",8.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33204,41862.00,223,"Height",1,3,".",4.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33005,41884.00,245,"Height",2,1,".",20.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33005,41884.00,245,"Height",2,2,".",14.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33005,41884.00,245,"Height",2,3,".",14.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33015,41884.00,245,"Height",2,1,".",15.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33015,41884.00,245,"Height",2,2,".",12.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33015,41884.00,245,"Height",2,3,".",25.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33030,41884.00,245,"Height",2,1,".",17.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33030,41884.00,245,"Height",2,2,".",15.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33030,41884.00,245,"Height",2,3,".",21.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33038,41884.00,245,"Height",2,1,".",18.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33038,41884.00,245,"Height",2,2,".",10.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33038,41884.00,245,"Height",2,3,".",20.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33044,41884.00,245,"Height",2,1,".",19.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33044,41884.00,245,"Height",2,2,".",22.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33044,41884.00,245,"Height",2,3,".",19.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33099,41884.00,245,"Height",2,1,".",19.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33099,41884.00,245,"Height",2,2,".",18.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33099,41884.00,245,"Height",2,3,".",15.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33103,41884.00,245,"Height",2,1,".",23.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33103,41884.00,245,"Height",2,2,".",17.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33103,41884.00,245,"Height",2,3,".",11.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33112,41884.00,245,"Height",2,1,".",18.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33112,41884.00,245,"Height",2,2,".",23.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33112,41884.00,245,"Height",2,3,".",18.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33119,41884.00,245,"Height",2,1,".",21.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33119,41884.00,245,"Height",2,2,".",21.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33119,41884.00,245,"Height",2,3,".",17.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33166,41884.00,245,"Height",2,1,".",31.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33166,41884.00,245,"Height",2,2,".",36.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33166,41884.00,245,"Height",2,3,".",33.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33181,41884.00,245,"Height",2,1,".",26.0
