"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","trait","emergence_DOY","emergence_DAS"
2014,"density","JGI","rain_fed",400,198,205,"RIL_059","high_density",31,31148,"panicle_emergence",237,39
2014,"density","JGI","rain_fed",400,198,205,"RIL_077","high_density",31,31149,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_105","high_density",31,31150,"panicle_emergence",232,34
2014,"density","JGI","rain_fed",400,198,205,"RIL_099","high_density",31,31151,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_026","high_density",31,31152,"panicle_emergence",231,33
2014,"density","JGI","rain_fed",400,198,205,"RIL_175","high_density",31,31153,"panicle_emergence",230,32
2014,"density","JGI","rain_fed",400,198,205,"RIL_134","high_density",31,31154,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_014","high_density",31,31155,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31156,"panicle_emergence",227,29
2014,"density","JGI","rain_fed",400,198,205,"RIL_126","high_density",31,31157,"panicle_emergence",227,29
2014,"density","JGI","rain_fed",400,198,205,"RIL_206","high_density",31,31158,"panicle_emergence",232,34
2014,"density","JGI","rain_fed",400,198,205,"RIL_024","high_density",31,31159,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"B100","high_density",31,31160,"panicle_emergence",238,40
2014,"density","JGI","rain_fed",400,198,205,"RIL_037","high_density",31,31161,"panicle_emergence",232,34
2014,"density","JGI","rain_fed",400,198,205,"RIL_004","high_density",31,31162,"panicle_emergence",238,40
2014,"density","JGI","rain_fed",400,198,205,"RIL_172","high_density",31,31163,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_013","high_density",31,31164,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_143","high_density",31,31165,"panicle_emergence",232,34
2014,"density","JGI","rain_fed",400,198,205,"RIL_049","high_density",31,31166,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"B100","high_density",31,31167,"panicle_emergence",238,40
2014,"density","JGI","rain_fed",400,198,205,"RIL_153","high_density",31,31168,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"B100","high_density",31,31169,"panicle_emergence",239,41
2014,"density","JGI","rain_fed",400,198,205,"RIL_207","high_density",31,31170,"panicle_emergence",232,34
2014,"density","JGI","rain_fed",400,198,205,"RIL_015","high_density",31,31171,"panicle_emergence",232,34
2014,"density","JGI","rain_fed",400,198,205,"RIL_146","high_density",31,31172,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_041","high_density",31,31173,"panicle_emergence",231,33
2014,"density","JGI","rain_fed",400,198,205,"RIL_154","high_density",31,31174,"panicle_emergence",232,34
2014,"density","JGI","rain_fed",400,198,205,"RIL_176","high_density",31,31175,"panicle_emergence",237,39
2014,"density","JGI","rain_fed",400,198,205,"RIL_063","high_density",31,31176,"panicle_emergence",242,44
2014,"density","JGI","rain_fed",400,198,205,"RIL_114","high_density",31,31177,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_182","high_density",31,31178,"panicle_emergence",237,39
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31179,"panicle_emergence",227,29
2014,"density","JGI","rain_fed",400,198,205,"RIL_103","high_density",31,31180,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_209","high_density",31,31181,"panicle_emergence",232,34
2014,"density","JGI","rain_fed",400,198,205,"RIL_158","high_density",31,31182,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_084","high_density",31,31183,"panicle_emergence",232,34
2014,"density","JGI","rain_fed",400,198,205,"RIL_211","high_density",31,31184,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_152","high_density",31,31185,"panicle_emergence",230,32
2014,"density","JGI","rain_fed",400,198,205,"RIL_057","high_density",31,31186,"panicle_emergence",238,40
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31187,"panicle_emergence",224,26
2014,"density","JGI","rain_fed",400,198,205,"RIL_010","high_density",31,31188,"panicle_emergence",237,39
2014,"density","JGI","rain_fed",400,198,205,"RIL_217","high_density",31,31189,"panicle_emergence",230,32
2014,"density","JGI","rain_fed",400,198,205,"RIL_060","high_density",31,31190,"panicle_emergence",240,42
