"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","DOY","subsample_num","trait","data"
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,1,"second_tiller_height",151
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,2,"second_tiller_height",182
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,3,"second_tiller_height",48
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,4,"second_tiller_height",90
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,1,"tiller_number_per_plant",3
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,2,"tiller_number_per_plant",6
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,3,"tiller_number_per_plant",3
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,4,"tiller_number_per_plant",3
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,1,"branch_number_per_plant",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,2,"branch_number_per_plant",2
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,3,"branch_number_per_plant",2
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,4,"branch_number_per_plant",4
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,1,"culm_height",400
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,2,"culm_height",365
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,3,"culm_height",318
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,4,"culm_height",300
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,1,"leaf_number_per_plant",18
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,2,"leaf_number_per_plant",8
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,3,"leaf_number_per_plant",13
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,4,"leaf_number_per_plant",8
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,1,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,2,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,3,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,4,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,1,"Panicle_number_per_plant",4
